algorithm,ensemble_size,depth,timeout_sec,n_trials,mean_validated_score,std_validated_score,mean_raw_search_score,mean_elapsed_sec,mean_returned_size,mean_main_queries,mean_main_cache_misses,mean_fast_queries,mean_fast_cache_misses,mean_total_simulated_trajectories,best_validated_score,best_mutation_set,best_trial
NMCS,200,7,20.0,10,0.5873717948717949,0.08965699576833819,0.5858846153846153,20.616044754185715,6.7,19.2,19.2,0.0,0.0,49920.0,0.7314102564102564,"[('AKT1', True), ('CDH2', True), ('CTNNB1', True), ('DKK1', True), ('NICD', True), ('ZEB1', True)]",5
NMCS,200,7,60.0,10,0.6717948717948719,0.06045828159384565,0.6706923076923077,60.69450422079535,6.8,51.3,51.3,0.0,0.0,133380.0,0.7642307692307693,"[('AKT1', True), ('CTNNB1', True), ('DKK1', True), ('ECMicroenv', True), ('GF', False), ('SNAI1', True), ('TGFbeta', True)]",7
NMCS,500,7,5.0,10,0.5663866666666666,0.06468424365931612,0.5640400000000001,5.164970541396178,6.8,15.1,15.1,0.0,0.0,37750.0,0.6626666666666666,"[('AKT1', True), ('ECMicroenv', False), ('NICD', True), ('SMAD', True), ('SNAI2', True), ('TGFbeta', True), ('miR203', False)]",9
NMCS,500,7,20.0,10,0.5547199999999999,0.07323543040541694,0.5545599999999999,20.52966807921184,6.6,18.9,18.9,0.0,0.0,47250.0,0.6997333333333332,"[('AKT1', True), ('AKT2', True), ('GF', True), ('Migration', True), ('NICD', True), ('SMAD', True), ('SNAI2', True)]",5
NMCS,500,7,60.0,10,0.7992,0.049019651388215985,0.8002800000000001,60.15496681260411,6.8,191.6,191.4,0.0,0.0,478500.0,0.856,"[('AKT1', True), ('CTNNB1', True), ('DKK1', False), ('DNAdamage', False), ('ECMicroenv', True), ('NICD', True), ('SNAI1', True)]",8
NMCS,1000,7,5.0,10,0.3578,0.11221264865655077,0.3591666666666666,5.767023162613623,6.5,4.1,4.1,0.0,0.0,12300.0,0.5293333333333331,"[('AKT1', True), ('AKT2', True), ('DKK1', False), ('Migration', False), ('NICD', True), ('VIM', False), ('p73', False)]",0
NMCS,1000,7,20.0,10,0.5700888888888888,0.11657123927950883,0.5739333333333334,20.695585695898625,6.8,15.5,15.5,0.0,0.0,46500.0,0.7711111111111113,"[('AKT1', True), ('CDH2', True), ('DNAdamage', False), ('ECMicroenv', True), ('SMAD', True), ('TWIST1', True), ('p21', True)]",4
NMCS,1000,7,60.0,10,0.6805666666666665,0.04817887068256077,0.6784333333333333,60.48814557092264,6.7,88.1,88.1,0.0,0.0,264300.0,0.7633333333333333,"[('AKT1', True), ('AKT2', True), ('CTNNB1', True), ('DNAdamage', False), ('ERK', True), ('NICD', True), ('SNAI2', True)]",2
NRPA,200,7,5.0,10,0.5851282051282052,0.09356300988041681,0.5868846153846154,5.131950249918736,7.0,16.2,15.0,0.0,0.0,39000.0,0.7429487179487181,"[('AKT2', True), ('CDH1', False), ('CTNNB1', True), ('Migration', True), ('NICD', True), ('ZEB1', True), ('p21', True)]",4
NRPA,200,7,20.0,10,0.5765384615384616,0.19706773866520283,0.5761538461538461,20.51358992930036,7.0,21.7,18.5,0.0,0.0,48100.0,0.8593589743589742,"[('CTNNB1', True), ('ECMicroenv', True), ('ERK', True), ('NICD', True), ('SNAI1', True), ('TWIST1', True), ('VIM', True)]",6
NRPA,200,7,60.0,10,0.8238076923076922,0.0477928719868849,0.8238846153846154,60.15454712930368,7.0,10311.4,132.3,0.0,0.0,343980.0,0.9228205128205128,"[('CTNNB1', True), ('DNAdamage', False), ('ECMicroenv', False), ('Metastasis', True), ('NICD', True), ('SNAI1', True), ('TGFbeta', True)]",0
NRPA,500,7,5.0,10,0.4155333333333334,0.1120725677605561,0.41844000000000003,5.504499612387735,7.0,5.6,5.6,0.0,0.0,14000.0,0.6078666666666667,"[('CDH2', True), ('DKK1', False), ('DNAdamage', False), ('SNAI1', True), ('ZEB1', True), ('miR34', False), ('p73', False)]",1
NRPA,500,7,20.0,10,0.5177066666666665,0.14106982731178835,0.5135599999999999,20.608354554104153,7.0,22.0,19.1,0.0,0.0,47750.0,0.7573333333333334,"[('CTNNB1', True), ('ECMicroenv', True), ('Migration', False), ('SMAD', True), ('TWIST1', True), ('ZEB1', True), ('p21', True)]",1
NRPA,500,7,60.0,10,0.7268266666666666,0.09557470237114701,0.727,60.14270587060601,7.0,8085.3,88.1,0.0,0.0,220250.0,0.8428,"[('AKT2', True), ('CDH1', False), ('CTNNB1', True), ('DKK1', True), ('ECMicroenv', True), ('NICD', True), ('SNAI1', True)]",8
NRPA,1000,7,5.0,10,0.40090000000000003,0.15756366105149563,0.40140000000000003,5.420120866561774,7.0,6.2,6.2,0.0,0.0,18600.0,0.6789999999999999,"[('CDH1', False), ('CTNNB1', True), ('DKK1', True), ('SNAI1', True), ('SNAI2', False), ('TWIST1', True), ('miR200', False)]",9
NRPA,1000,7,20.0,10,0.5050777777777777,0.1027638915544142,0.5034,20.359523787593936,7.0,16.1,15.3,0.0,0.0,45900.0,0.738111111111111,"[('AKT2', True), ('DKK1', False), ('ECMicroenv', True), ('Metastasis', False), ('SMAD', True), ('SNAI1', True), ('miR200', False)]",0
NRPA,1000,7,60.0,10,0.6465333333333333,0.18353250326055714,0.6449666666666666,44.63549225807655,7.0,3202.1,56.9,0.0,0.0,170700.0,0.8963333333333333,"[('CTNNB1', True), ('DNAdamage', False), ('Migration', True), ('NICD', True), ('SMAD', True), ('SNAI1', True), ('SNAI2', True)]",8
